,symboling,normalized-losses,make,fuel-type,aspiration,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,nlimpute,num_doors,num_cylinders
0,2,164.0,audi,gas,std,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,109,mpfi,3.19,3.40,10.0,102,5500,24,30,13950.0,audi,4,4
1,2,164.0,audi,gas,std,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,136,mpfi,3.19,3.40,8.0,115,5500,18,22,17450.0,audi,4,5
2,2,161.0,audi,gas,std,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,136,mpfi,3.19,3.40,8.5,110,5500,19,25,15250.0,audi,2,5
3,1,158.0,audi,gas,std,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,136,mpfi,3.19,3.40,8.5,110,5500,19,25,17710.0,audi,4,5
4,1,161.0,audi,gas,std,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,136,mpfi,3.19,3.40,8.5,110,5500,19,25,18920.0,audi,4,5
5,1,158.0,audi,gas,turbo,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,131,mpfi,3.13,3.40,8.3,140,5500,17,20,23875.0,audi,4,5
6,0,161.0,audi,gas,turbo,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053,ohc,131,mpfi,3.13,3.40,7.0,160,5500,16,22,17859.166666666668,audi,2,5
7,2,192.0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16430.0,bmw,2,4
8,0,192.0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16925.0,bmw,4,4
9,0,188.0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,bmw,2,6
10,0,188.0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,bmw,4,6
11,1,190.0,bmw,gas,std,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,bmw,4,6
12,0,190.0,bmw,gas,std,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,bmw,4,6
13,0,190.0,bmw,gas,std,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,bmw,2,6
